standard_care,hpv_vaccination
602994497.6438235,1087760464.65988
622587909.8821434,1081636871.5517433
584186467.4655745,1100400348.8400593
616771573.3231484,1039052797.8348048
561386838.6396985,1038625794.2758955
589168499.1911058,1098984848.0589492
605018730.4111531,1092313356.343514
623447285.3123494,1127971944.7835608
586684037.6884817,1085823916.4348567
599124095.7452025,1080267124.5685031
607669934.3272209,1028315836.5875281
594919527.6450903,1077249360.4293122
546599891.144697,1071177418.3679057
609547173.93156,1092688680.6162143
592631152.4957844,1082515664.4395194
585380518.3462951,1090670137.8330479
601661610.1976726,1072553235.0420778
605677395.1981189,1131876296.2474918
604096854.280252,1157123965.670377
550107681.0075871,1079113551.671637
598090979.8413867,1045293001.5540326
563276534.7553575,1162104738.2028384
550864801.3334664,1110361462.300891
612269201.4690688,1114325775.43111
605192982.5855213,1109366225.8065624
574194630.5404103,1087977232.2194977
611424171.0455961,1123112112.9826834
551287337.6684818,1060363393.0219256
581457099.3971438,1052263592.9400985
545170658.2597772,1084485117.8884914
562904420.6079502,1142162853.4575508
597745047.2202461,1056633059.2422315
595783218.8072127,1074709986.9978364
597756997.4533485,1094153513.204188
569534195.6540338,1160747357.0620892
589127383.8673196,1114237222.6692264
614219305.0021393,1119866010.5788941
631486673.2327008,1093312447.4839735
615563807.355687,1110437006.8693557
595529818.6098697,1092519909.0729647
608161342.1377958,1079931902.3002553
616410045.899649,1143159470.9579802
595851068.0270048,1092577535.18664
581212104.4779128,1100108215.14638
620108069.2940732,1068293780.0195744
591641999.998282,1054464253.6764263
585014194.7121431,1136235247.3089542
598712028.5052526,1067767078.421158
568578606.196661,1045373244.8795176
600720987.4836518,1088045165.013654
610971417.9144424,1080539388.5565448
606879298.9721751,1083421631.8691764
578215195.7123712,1071369381.0429435
615632647.6589873,1124135151.148683
597489635.9594804,1072725337.7346493
597834582.663237,1038777908.7132887
559943622.0554026,1055513939.8308966
635720638.9393787,1104790743.4780486
597407696.6276479,997631152.7194729
591673871.6357473,1078479982.3261957
603194553.8205873,1096808939.8798554
598496608.4064407,1106063649.4358552
632006014.705348,1076196068.01646
561666315.9000914,1047190683.2408022
575940937.8665751,1073515658.8018751
556966706.3378209,1111622787.0227394
589304446.6402843,1105330213.0534077
551358303.8319583,1148779509.4499972
584342459.1526031,1119482298.4731562
557735853.4675068,1086258215.7685654
588024895.0487287,1092326094.5143535
627434267.4837197,1067572245.7798674
602457984.64451,1072843091.4632335
602937259.6818306,1131569783.6356485
637711240.6315753,1110141221.9450328
602278249.4281058,1137424679.9610028
593229327.3838458,1111564093.1876473
605379678.1929857,1138084285.8369987
556570642.3278565,1084642265.9382033
601375634.5097963,1025341591.2079701
535793196.5749038,1040287197.1220024
593712023.7770802,1131764129.8907144
606940048.8297167,1031199870.1306343
565142524.5652461,1060308759.0040215
590806533.3294758,1080833561.2528205
603996795.929333,1089216191.770781
620812705.6648577,1070699112.8874403
549768980.1575196,1083854415.9215605
552163010.0776291,1038092403.1635345
572143300.025332,1102416048.0111468
579062653.0562117,1101672437.011691
601957557.0866992,1068138432.1256957
591311233.2787491,1077457872.1966321
626888309.1789138,1045162476.2140315
573364037.9918909,1073822131.8386698
568881643.3747288,1089523395.5171838
597983762.8244488,1076976694.917641
593451834.4037547,1126921306.5686195
540097609.6811552,1169783893.6648524
581032503.4358742,1071413700.5412588
559528133.8340281,1056846423.1313348
611543863.5032552,1112674022.547608
609740731.6569122,1071559567.0197347
550033840.1474526,1115071411.9917657
567819478.4141662,1063454363.5846372
608051639.4449208,1109195715.4817703
631557048.952759,1105441462.9488752
590389301.8159165,1071870447.9461507
548736333.7314212,1149038793.1852546
577199220.6096723,1094115254.877999
616314685.9107531,1033716254.8797477
559295077.1952989,1078084573.0846603
550172465.6157111,1098596374.874284
569475849.2802622,1074028649.0005848
613074133.6357862,1099852501.7455375
560216373.8343395,1062264366.401965
583802697.6425558,1063022366.4098141
533171002.07322514,1074673937.7862952
519234803.8683963,1066671363.1542854
598924533.1303419,1129134691.179141
628672049.9759328,1104688498.6657996
592693114.0806161,1101980057.5906405
596577615.1589129,1092728566.4679017
586147401.4488804,1078623559.4359791
581327675.949444,1047709485.0196851
572804703.3791866,1104623610.848547
590405604.8016455,1051436977.5117586
599448876.5325303,1087164840.505113
593940136.3489847,1092177028.507487
588732765.6189198,1107657589.7985153
626678747.1281474,1054007437.4934204
570976730.1190456,1100249446.9470956
570415789.8971449,1075379434.2032797
569824608.2964871,1126745892.1648288
598910977.422358,1104330763.1122284
604576414.4943391,1073686624.3457837
612270753.0177994,1044656152.9807743
609814070.0225835,1107181796.7968001
605320858.8057861,1072679308.4880221
592297153.8956848,1078368701.845948
602411214.7440618,1146480766.745715
636216550.556762,1089753205.56777
541386761.3802651,1065574153.88936
589893144.2215309,1060987274.1329212
596793278.0473524,1048324416.5772165
592986911.7990073,1020180045.3180304
626886640.4943733,1066733479.8542367
577918469.8614776,1116885941.0676856
616684085.2231954,1064097545.1020639
622697568.5264634,1060072210.7467291
620576190.9423048,1068563799.1813592
574161047.3863444,1085926468.2067142
608650620.8629186,1063266737.7852509
624454034.8816932,1031358933.2293749
543676963.8264399,1137672672.2189987
597695959.1018268,1107112945.1659057
643377545.2696886,1033053319.9641781
592525608.1605129,1077708097.9086566
616009602.2448754,1173994684.7331462
625783425.6286908,1150870948.3041012
584792559.4237803,1100571211.6816843
591068997.273661,1050016131.2320821
592469204.7054622,1121169722.1264763
550553952.5254157,1131818219.7198348
604047417.4093208,1095023949.3468556
616659042.7901883,1099547077.68585
572593581.7172282,1097375788.94822
591562731.0998704,1079681597.2761471
598275931.3914788,1135125038.3423247
572089392.2049872,1043719576.0575275
557087861.6506972,1153637566.236963
604919397.2685161,1076365167.8233576
585998620.8555514,1125161035.6160457
640620348.5093586,1082101995.9700239
665894001.6475749,1016821597.8870584
653605775.941583,1100575592.9871693
567704236.4221137,1077850944.1473842
621404293.5766468,1057990040.9759206
598810906.1515368,1101712772.4170165
569716957.4753698,1100977252.788217
581303160.2323323,1058215139.0255313
550502816.1828518,1099127413.0345504
560757249.081623,1100885202.8961487
587701939.0683362,1096991352.3046641
575052126.7573727,1061761913.3044512
605794651.6188636,1122041863.072344
597348478.3993475,1070177963.9992913
571747945.614749,1022194859.2296312
587334611.3010468,1104843193.3613048
594897911.7736088,1146959630.9981084
550710920.6474099,1066955338.7030313
580590521.1820922,1047559678.8183682
586301367.7656437,1059986356.2011411
567761772.4682057,1067825738.2219943
569758372.2818463,1067667456.6078649
599502339.300533,1105931751.4286568
584208819.4776464,1103475055.5355434
604349704.3737204,1096590182.2228632
577384524.1202941,1122654439.5250063
589704606.9932162,1027156988.400307
606049875.8667555,1109943210.114728
618918194.6610218,1059378438.1712123
584987158.7188666,1040437362.2870799
570028993.7238053,1169035815.6292245
598212024.8837478,1104944044.5805566
638633292.0091038,1077156037.2826462
576801242.4577671,1126927332.315882
580241105.4122565,1068838036.6085764
574823809.8919089,1093771444.4642746
575731784.636333,1108734788.6413002
606076316.2165387,1126277389.1936903
605092287.7660341,1067212898.3882694
557256950.619888,1067392454.2190201
558801210.9479152,1070520712.0985153
521108772.55342627,1088845191.9716716
591243085.6072682,1090779961.498151
602643535.0698017,1101424358.0821054
601438936.4379988,1091377223.8365302
667837350.975141,1088100369.7782297
605519505.8319825,1125764005.166048
590506502.613027,1135425105.1658602
542786680.4455416,1134163601.3977208
566690133.6665568,1037068131.664808
